external_id,source,source_url,title,description,address,city,state,zip_code,price,bedrooms,bathrooms,square_feet,property_type,listing_status,latitude,longitude
NNA-4001,99acres,https://www.99acres.com/property/NNA-4001,Pune Hinjewadi Ready 2BHK,Under 80 lakh ready possession,"303 Megapolis Road, Hinjewadi",Pune,MH,411057,7900000,2,2.0,950,apartment,for_sale,18.591000,73.738000
NNA-4002,99acres,https://www.99acres.com/property/NNA-4002,Mumbai Lower Parel High Rise,Premium tower with amenities,"1201 Senapati Bapat Marg, Lower Parel",Mumbai,MH,400013,19500000,3,3.0,1480,apartment,for_sale,18.998000,72.827000
NNA-4003,99acres,https://www.99acres.com/property/NNA-4003,Bengaluru MG Road Rental,Central location for professionals,"502 MG Road, MG Road",Bengaluru,KA,560001,55000,2,2.0,1100,apartment,for_rent,12.975000,77.606000
NNA-4004,99acres,https://www.99acres.com/property/NNA-4004,Pune Baner Budget Buy,Value 2BHK near Aundh link road,"44 Baner Pashan Link Road, Baner",Pune,MH,411045,7200000,2,2.0,900,apartment,for_sale,18.559000,73.786000
NNA-4005,99acres,https://www.99acres.com/property/NNA-4005,Mumbai Dadar 2BHK Resale,Heritage neighborhood flat,"88 Gokhale Road, Dadar",Mumbai,MH,400028,11200000,2,2.0,880,apartment,for_sale,19.017000,72.843000
NNA-4006,99acres,https://www.99acres.com/property/NNA-4006,Bengaluru BTM Layout 1BHK,Compact flat near colleges,"205 BTM Layout 2nd Stage, BTM Layout",Bengaluru,KA,560076,28000,1,1.0,580,apartment,for_rent,12.916000,77.610000
NNA-4007,99acres,https://www.99acres.com/property/NNA-4007,Pune Kharadi Premium 3BHK,Large carpet area with two balconies,"901 EON Free Zone, Kharadi",Pune,MH,411014,10200000,3,2.5,1350,apartment,for_sale,18.553000,73.940000
NNA-4008,99acres,https://www.99acres.com/property/NNA-4008,Mumbai Borivali West Family Flat,Spacious 3BHK near national park,"404 SV Road, Borivali West",Mumbai,MH,400092,11800000,3,2.5,1250,apartment,for_sale,19.230000,72.857000
NNA-4009,99acres,https://www.99acres.com/property/NNA-4009,Bengaluru Yelahanka Villa,Independent villa near airport,"7 Yelahanka New Town, Yelahanka",Bengaluru,KA,560064,13200000,4,3.5,2450,villa,for_sale,13.100000,77.596000
NNA-4010,99acres,https://www.99acres.com/property/NNA-4010,Pune Wakad Rental 2BHK,Semi-furnished near D-Mart,"606 Datta Mandir Road, Wakad",Pune,MH,411057,26000,2,2.0,920,apartment,for_rent,18.599000,73.762000
