external_id,source,source_url,title,description,address,city,state,zip_code,price,bedrooms,bathrooms,square_feet,property_type,listing_status,latitude,longitude
HSG-1001,housing,https://housing.com/in/buy/resale/page/HSG-1001,Luxury 2BHK in Baner,Clubhouse and landscaped gardens,"101 Baner Road, Baner",Pune,MH,411045,9500000,2,2.0,1150,apartment,for_sale,18.559000,73.786000
HSG-1002,housing,https://housing.com/in/rent/page/HSG-1002,Furnished Flat near Hinjewadi IT Park,Ready to move with modular kitchen,"502 Blue Ridge, Hinjewadi",Pune,MH,411057,35000,2,2.0,980,apartment,for_rent,18.591000,73.738000
HSG-1003,housing,https://housing.com/in/buy/resale/page/HSG-1003,Koregaon Park Premium 3BHK,Premium fittings with city skyline view,"12 North Main Road, Koregaon Park",Pune,MH,411001,14500000,3,3.0,1680,apartment,for_sale,18.536000,73.893000
HSG-1004,housing,https://housing.com/in/buy/resale/page/HSG-1004,Wakad Family Villa,Gated community with private garden,"88 Wakad High Street, Wakad",Pune,MH,411057,11800000,4,4.0,2400,villa,for_sale,18.599000,73.762000
HSG-1005,housing,https://housing.com/in/rent/page/HSG-1005,Kharadi IT Corridor 2BHK,Close to EON IT Park,"701 World Trade Center Road, Kharadi",Pune,MH,411014,28000,2,2.0,1050,apartment,for_rent,18.553000,73.940000
HSG-1006,housing,https://housing.com/in/buy/resale/page/HSG-1006,Magarpatta City Resale Flat,Well maintained with covered parking,"404 Destination Center, Magarpatta",Pune,MH,411028,8200000,2,2.0,1100,apartment,for_sale,18.515000,73.928000
HSG-1007,housing,https://housing.com/in/buy/resale/page/HSG-1007,Aundh Spacious 3BHK,Near schools and retail hub,"55 Aundh Road, Aundh",Pune,MH,411007,10500000,3,2.5,1450,apartment,for_sale,18.558000,73.807000
HSG-1008,housing,https://housing.com/in/rent/page/HSG-1008,Viman Nagar Studio Apartment,Fully furnished for working professionals,"203 Clover Village, Viman Nagar",Pune,MH,411014,22000,1,1.0,620,apartment,for_rent,18.567000,73.914000
HSG-1009,housing,https://housing.com/in/buy/resale/page/HSG-1009,Kothrud Ready to Move 2BHK,Resale flat with immediate possession,"9 Karve Road, Kothrud",Pune,MH,411038,7800000,2,2.0,980,apartment,for_sale,18.507000,73.807000
HSG-1010,housing,https://housing.com/in/buy/resale/page/HSG-1010,Hadapsar Value Home,Affordable 2BHK near Magarpatta bridge,"44 Solapur Road, Hadapsar",Pune,MH,411028,6200000,2,2.0,920,apartment,for_sale,18.508000,73.926000
