external_id,source,source_url,title,description,address,city,state,zip_code,price,bedrooms,bathrooms,square_feet,property_type,listing_status,latitude,longitude
MBR-2001,magicbricks,https://www.magicbricks.com/propertyDetails/MBR-2001,Sea View 3BHK in Bandra West,Premium high-rise with sea-facing balcony,"801 Turner Road, Bandra West",Mumbai,MH,400050,28500000,3,3.0,1550,apartment,for_sale,19.059000,72.829000
MBR-2002,magicbricks,https://www.magicbricks.com/propertyDetails/MBR-2002,Andheri East Metro 2BHK,5 minutes from metro station,"1204 Veera Desai Road, Andheri East",Mumbai,MH,400069,45000,2,2.0,980,apartment,for_rent,19.113000,72.869000
MBR-2003,magicbricks,https://www.magicbricks.com/propertyDetails/MBR-2003,Powai Lake View Apartment,IT park proximity with lake view,"501 Hiranandani Gardens, Powai",Mumbai,MH,400076,16500000,3,2.5,1380,apartment,for_sale,19.119000,72.905000
MBR-2004,magicbricks,https://www.magicbricks.com/propertyDetails/MBR-2004,Worli Luxury Penthouse,High-end finishes with private terrace,"1801 Annie Besant Road, Worli",Mumbai,MH,400018,45000000,4,4.0,3200,apartment,for_sale,19.017000,72.815000
MBR-2005,magicbricks,https://www.magicbricks.com/propertyDetails/MBR-2005,Juhu Beachside Flat,Walkable to Juhu beach,"22 Gulmohar Cross Road, Juhu",Mumbai,MH,400049,22000000,3,3.0,1720,apartment,for_sale,19.107000,72.826000
MBR-2006,magicbricks,https://www.magicbricks.com/propertyDetails/MBR-2006,Goregaon West Family Home,Spacious layout with two parking slots,"88 Link Road, Goregaon West",Mumbai,MH,400104,13500000,3,2.5,1420,apartment,for_sale,19.166000,72.852000
MBR-2007,magicbricks,https://www.magicbricks.com/propertyDetails/MBR-2007,Chembur East 2BHK Resale,Well ventilated corner flat,"404 Sion Trombay Road, Chembur East",Mumbai,MH,400071,9800000,2,2.0,950,apartment,for_sale,19.052000,72.899000
MBR-2008,magicbricks,https://www.magicbricks.com/propertyDetails/MBR-2008,Malad West Budget Rental,Semi-furnished flat near station,"303 SV Road, Malad West",Mumbai,MH,400064,38000,2,2.0,850,apartment,for_rent,19.187000,72.848000
MBR-2009,magicbricks,https://www.magicbricks.com/propertyDetails/MBR-2009,Thane West New Launch 2BHK,Under construction with amenities deck,"701 Ghodbunder Road, Thane West",Mumbai,MH,400607,8900000,2,2.0,920,apartment,for_sale,19.218000,72.978000
MBR-2010,magicbricks,https://www.magicbricks.com/propertyDetails/MBR-2010,Navi Mumbai Kharghar Villa,Independent villa in planned township,"12 Sector 12, Kharghar",Mumbai,MH,410210,12500000,3,3.0,2100,villa,for_sale,19.047000,73.069000
